School,City,State,Conference,Division,AdmissionRate,SAT,Cost,Longitude,Latitude
Drake University,Des Moines,Iowa,Missouri Valley Conference,D1,0.6792,1254.0,57643.0,-93.652163,41.60129
University of Evansville,Evansville,Indiana,Missouri Valley Conference,D1,0.643,,50986.0,-87.531644,37.971549
Missouri State University,Springfield,Missouri,Missouri Valley Conference,D1,,,,,
Northern Illinois University,DeKalb,Illinois,Missouri Valley Conference,D1,0.5925,,26312.0,-88.766428,41.933869
Southern Illinois University Edwardsville,Edwardsville,Illinois,Missouri Valley Conference,D1,0.8505,1154.0,24244.0,-89.997779,38.793949
University of Illinois Chicago,Chicago,Illinois,Missouri Valley Conference,D1,0.7263,1159.0,25831.0,-87.650503,41.871837
Western Michigan University,Kalamazoo,Michigan,Missouri Valley Conference,D1,0.8494,1129.0,26567.0,-85.613759,42.282194
Central Connecticut State University,New Britain,Connecticut,Northeast Conference,D1,0.6485,1062.0,22518.0,-72.765991,41.692502
Fairleigh Dickinson University,Madison & Florham Park,New Jersey,Northeast Conference,D1,,,,,
Howard University,Washington,D.C.,Northeast Conference,D1,0.3864,1192.0,45971.0,-77.018966,38.922392
Long Island University,Brookville,New York,Northeast Conference,D1,0.8501,1194.0,50591.0,-73.593678,40.820714
Merrimack College,North Andover,Massachusetts,Northeast Conference,D1,0.8164,,59617.0,-71.124216,42.668344
Sacred Heart University,Fairfield,Connecticut,Northeast Conference,D1,0.6553,,61591.0,-73.243332,41.220893
St. Francis College,"Brooklyn, New York City",New York,Northeast Conference,D1,0.8452,964.0,32776.0,-73.992164,40.693228
Saint Francis University,Loretto,Pennsylvania,Northeast Conference,D1,0.5935,1134.0,54101.0,-78.63904,40.506734
Stonehill College,Easton,Massachusetts,Northeast Conference,D1,0.6896,,62253.0,-71.080632,42.05905
"University of California, Berkeley",Berkeley,California,Pac-12 Conference,D1,0.1748,1437.0,39016.0,-122.260463,37.871918
Oregon State University,Corvallis,Oregon,Pac-12 Conference,D1,0.8173,1201.0,27595.0,-123.274723,44.56395
San Diego State University,San Diego,California,Pac-12 Conference,D1,0.367,1207.0,23367.0,-117.071228,32.77525
Stanford University,Stanford,California,Pac-12 Conference,D1,0.0519,1491.0,74570.0,-122.167359,37.429434
"University of California, Los Angeles",Los Angeles,California,Pac-12 Conference,D1,0.1433,,35497.0,-118.442179,34.07178
University of Washington,Seattle,Washington,Pac-12 Conference,D1,,,,,
American University,Washington,D.C.,Patriot League,D1,0.3865,1328.0,66416.0,-77.088875,38.936005
United States Military Academy,West Point,New York,Patriot League,D1,0.0864,1359.0,,-73.956603,41.390479
Boston University,Boston,Massachusetts,Patriot League,D1,0.2009,1419.0,74911.0,-71.107942,42.351118
Bucknell University,Lewisburg,Pennsylvania,Patriot League,D1,0.3753,1353.0,75400.0,-76.882616,40.954317
Colgate University,Hamilton,New York,Patriot League,D1,0.2747,1404.0,75000.0,-75.536346,42.819475
College of the Holy Cross,Worcester,Massachusetts,Patriot League,D1,0.3794,1371.0,71448.0,-71.808214,42.23752
Lafayette College,Easton,Pennsylvania,Patriot League,D1,0.3557,1360.0,74016.0,-75.209786,40.69956
Lehigh University,Bethlehem,Pennsylvania,Patriot League,D1,0.4954,1366.0,71310.0,-75.380236,40.606822
Loyola University Maryland,Baltimore,Maryland,Patriot League,D1,0.8024,,67196.0,-76.621872,39.346358
United States Naval Academy,Annapolis,Maryland,Patriot League,D1,0.0908,1367.0,,-76.481692,38.980507
East Tennessee State University,Johnson City,Tennessee,Southern Conference,D1,0.7838,1167.0,22323.0,-82.366954,36.301643
Furman University,Greenville,South Carolina,Southern Conference,D1,0.6525,1356.0,67299.0,-82.440458,34.924676
Mercer University,Macon,Georgia,Southern Conference,D1,0.7816,1285.0,52940.0,-83.648295,32.831787
