School,City,State,Conference,Division,StateCode,DOESchool,DOECity,DOEStateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,Lev
Farmingdale State College,Farmingdale,New York,Skyline Conference,D3,NY,Farmingdale State College,Farmingdale,NY,00285800,0.6016,1075.0,16856.0,-73.42832,40.754224,0
Ferrum College,Ferrum,Virginia,Old Dominion Athletic Conference,D3,VA,Ferrum College,Ferrum,VA,00371100,0.7583,979.0,50084.0,-80.021639,36.926912,0
Finlandia University,Hancock,Michigan,Coast to Coast Athletic Conference,D3,MI,Finlandia University,Hancock,MI,00232200,0.83,,34832.0,-88.588756,47.127868,0
Fitchburg State University,Fitchburg,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA,Fitchburg State University,Fitchburg,MA,00218400,0.8799,,22881.0,-71.789666,42.588298,0
Fontbonne University,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,D3,MO,Fontbonne University,Saint Louis,MO,00246400,0.8536,1050.0,40906.0,-90.315712,38.642697,0
Framingham State University,Framingham,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA,Framingham State University,Framingham,MA,00218500,0.7853,1044.0,25810.0,-71.437565,42.297116,0
Franciscan University of Steubenville,Steubenville,Ohio,Presidents' Athletic Conference,D3,OH,Franciscan University of Steubenville,Steubenville,OH,00303600,0.73,1204.0,39788.0,-80.620524,40.376919,0
Franklin College,Franklin,Indiana,Heartland Collegiate Athletic Conference,D3,IN,Franklin College,Franklin,IN,00179800,0.7607,1076.0,46533.0,-86.047182,39.478298,0
Gallaudet University,Washington,District of Columbia,United East Conference,D3,DC,Gallaudet University,Washington,DC,00144300,0.6262,904.0,38892.0,-76.993675,38.907371,0
Geneva College,Beaver Falls,Pennsylvania,Presidents' Athletic Conference,D3,PA,Geneva College,Beaver Falls,PA,00326700,0.7314,,38941.0,-80.321826,40.772518,0
George Fox University,Newberg,Oregon,Northwest Conference,D3,OR,George Fox University,Newberg,OR,00319400,0.9091,1138.0,51439.0,-122.967494,45.303629,0
Gettysburg College,Gettysburg,Pennsylvania,Centennial Conference,D3,PA,Gettysburg College,Gettysburg,PA,00326800,0.4824,,71850.0,-77.236792,39.836597,0
Gordon College,Wenham,Massachusetts,Commonwealth Coast Conference,D3,MA,Gordon College,Wenham,MA,00215300,0.6827,1159.0,51869.0,-70.82151,42.590567,0
Goucher College,Towson,Maryland,Landmark Conference,D3,MD,Goucher College,Baltimore,MD,00207300,0.7941,,62979.0,-76.594843,39.410175,0
Greensboro College,Greensboro,North Carolina,USA South Athletic Conference,D3,NC,Greensboro College,Greensboro,NC,00293000,0.7761,1008.0,30302.0,-79.800232,36.071082,0
Greenville University,Greenville,Illinois,St. Louis Intercollegiate Athletic Conference,D3,IL,Greenville University,Greenville,IL,00168400,0.5921,1014.0,40959.0,-89.40824,38.894162,0
Grinnell College,Grinnell,Iowa,Midwest Conference,D3,IA,Grinnell College,Grinnell,IA,00186800,0.1925,1448.0,70346.0,-92.722094,41.747952,0
Grove City College,Grove City,Pennsylvania,Presidents' Athletic Conference,D3,PA,Grove City College,Grove City,PA,00326900,0.7759,1250.0,,-80.081481,41.1558,0
Guilford College,Greensboro,North Carolina,Old Dominion Athletic Conference,D3,NC,Guilford College,Greensboro,NC,00293100,0.7801,1059.0,53479.0,-79.887737,36.094233,0
Gustavus Adolphus College,St. Peter,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN,Gustavus Adolphus College,Saint Peter,MN,00235300,0.7061,,59205.0,-93.972196,44.323626,0
Gwynedd Mercy University,Lower Gwynedd Township,Pennsylvania,Atlantic East Conference,D3,PA,Gwynedd Mercy University,Gwynedd Valley,PA,00327000,0.8803,1044.0,47646.0,-75.236601,40.202804,0
Hamilton College,Clinton,New York,New England Small College Athletic Conference,D3,NY,Hamilton College,Clinton,NY,00272800,0.1841,1462.0,72190.0,-75.408195,43.050245,0
Hamline University,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN,Hamline University,Saint Paul,MN,00235400,0.6895,1147.0,51984.0,-93.164479,44.966246,0
Hampden–Sydney College,Hampden Sydney,Virginia,Old Dominion Athletic Conference,D3,VA,Hampden-Sydney College,Hampden-Sydney,VA,00371300,0.4701,1142.0,63310.0,-78.464216,37.240615,1
Hanover College,Hanover,Indiana,Heartland Collegiate Athletic Conference,D3,IN,Hanover College,Hanover,IN,00180100,0.6932,1195.0,52998.0,-85.460051,38.715642,0
Hardin–Simmons University,Abilene,Texas,American Southwest Conference,D3,TX,Hardin-Simmons University,Abilene,TX,00357100,0.9051,1069.0,42530.0,-99.73564,32.476434,1
Hartwick College,Oneonta,New York,Empire 8,D3,NY,Hartwick College,Oneonta,NY,00272900,0.931,1107.0,60479.0,-75.071994,42.457599,0
Haverford College,Haverford,Pennsylvania,Centennial Conference,D3,PA,Haverford College,Haverford,PA,00327400,0.1823,1459.0,76384.0,-75.305207,40.007452,0
Heidelberg University,Tiffin,Ohio,Ohio Athletic Conference,D3,OH,Heidelberg University,Tiffin,OH,00304800,0.8106,1098.0,44381.0,-83.168387,41.114833,0
Hendrix College,Conway,Arkansas,Southern Athletic Association,D3,AR,Hendrix College,Conway,AR,00109900,0.7054,,64046.0,-92.443256,35.101565,0
Hilbert College,Hamburg,New York,Allegheny Mountain Collegiate Conference,D3,NY,Hilbert College,Hamburg,NY,00273500,0.9171,,31358.0,-78.820257,42.75464,0
Hiram College,Hiram,Ohio,North Coast Athletic Conference,D3,OH,Hiram College,Hiram,OH,00304900,0.9277,1037.0,50555.0,-81.143981,41.3107,0
Hollins University,Roanoke,Virginia,Old Dominion Athletic Conference,D3,VA,Hollins University,Roanoke,VA,00371500,0.8079,1175.0,55893.0,-79.943277,37.354201,0
Hood College,Frederick,Maryland,MAC Commonwealth,D3,MD,Hood College,Frederick,MD,00207600,0.7133,,56168.0,-77.419049,39.420631,0
Hope College,Holland,Michigan,Michigan Intercollegiate Athletic Association,D3,MI,Hope College,Holland,MI,00227300,0.7783,1219.0,48607.0,-86.102089,42.787298,0
Houghton College,Houghton,New York,Empire 8,D3,NY,Houghton College,Houghton,NY,00273400,0.7998,,44952.0,-78.155426,42.426137,0
Howard Payne University,Brownwood,Texas,American Southwest Conference,D3,TX,Howard Payne University,Brownwood,TX,00357500,0.4853,,41336.0,-98.985204,31.716467,0
Huntingdon College,Montgomery,Alabama,Collegiate Conference of the South,D3,AL,Huntingdon College,Montgomery,AL,00101900,0.5439,1101.0,37483.0,-86.284366,32.351034,0
Husson University,Bangor,Maine,North Atlantic Conference,D3,ME,Husson University,Bangor,ME,00204300,0.8466,1054.0,31303.0,-68.791476,44.829002,0
Illinois College,Jacksonville,Illinois,Midwest Conference,D3,IL,Illinois College,Jacksonville,IL,00168800,0.7524,,44465.0,-90.246171,39.7313,0
Illinois Institute of Technology,Chicago,Illinois,Northern Athletics Collegiate Conference,D3,IL,Illinois Institute of Technology,Chicago,IL,00169100,0.6066,1311.0,64710.0,-87.627321,41.8313,0
Illinois Wesleyan University,Bloomington,Illinois,College Conference of Illinois and Wisconsin,D3,IL,Illinois Wesleyan University,Bloomington,IL,00169600,0.5693,1233.0,63174.0,-88.992014,40.489901,0
Immaculata University,Immaculata,Pennsylvania,Atlantic East Conference,D3,PA,Immaculata University,Immaculata,PA,00327600,0.8243,1076.0,44036.0,-75.570711,40.027981,0
Ithaca College,Ithaca,New York,Liberty League,D3,NY,Ithaca College,Ithaca,NY,00273900,0.7568,,64006.0,-76.494136,42.422154,0
John Carroll University,University Heights,Ohio,Ohio Athletic Conference,D3,OH,John Carroll University,University Heights,OH,00305000,0.8784,1198.0,57651.0,-81.531338,41.491321,0
Johns Hopkins University,Baltimore,Maryland,Centennial Conference,D3,MD,Johns Hopkins University,Baltimore,MD,00207700,0.1106,1532.0,74001.0,-76.621595,39.328977,0
Juniata College,Huntingdon,Pennsylvania,Landmark Conference,D3,PA,Juniata College,Huntingdon,PA,00327900,0.6746,,61807.0,-78.017292,40.500523,0
Kalamazoo College,Kalamazoo,Michigan,Michigan Intercollegiate Athletic Association,D3,MI,Kalamazoo College,Kalamazoo,MI,00227500,0.7433,,63808.0,-85.601857,42.290789,0
Kean University,Union Township,New Jersey,New Jersey Athletic Conference,D3,NJ,Kean University,Union,NJ,00262200,0.7805,1010.0,25863.0,-74.233503,40.677981,0
Keene State College,Keene,New Hampshire,Little East Conference,D3,NH,Keene State College,Keene,NH,00259000,0.9066,,28880.0,-72.279276,42.926452,0
Kenyon College,Gambier,Ohio,North Coast Athletic Conference,D3,OH,Kenyon College,Gambier,OH,00306500,0.3689,1399.0,74550.0,-82.397977,40.374408,0
Keuka College,Keuka Park,New York,Empire 8,D3,NY,Keuka College,Keuka Park,NY,00274400,0.9091,,50240.0,-77.090562,42.615253,0
Keystone College,La Plume Township,Pennsylvania,Colonial States Athletic Conference,D3,PA,Keystone College,La Plume,PA,00328000,0.7874,991.0,39200.0,-75.777456,41.558969,0
King's College,Wilkes-Barre,Pennsylvania,MAC Freedom,D3,PA,King's College,Wilkes-Barre,PA,00328200,0.8661,,52647.0,-75.879822,41.250097,0
Knox College,Galesburg,Illinois,Midwest Conference,D3,IL,Knox College,Galesburg,IL,00170400,0.7084,1229.0,60393.0,-90.373165,40.943064,0
La Roche University,Pittsburgh,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA,La Roche University,Pittsburgh,PA,00398700,0.6891,1006.0,43073.0,-80.014851,40.568615,0
University of La Verne,La Verne,California,Southern California Intercollegiate Athletic Conference,D3,CA,University of La Verne,La Verne,CA,00121600,0.7625,1054.0,60759.0,-117.773262,34.100855,0
LaGrange College,LaGrange,Georgia,Collegiate Conference of the South,D3,GA,LaGrange College,Lagrange,GA,00157800,0.5967,1077.0,46034.0,-85.043113,33.038564,0
Lake Forest College,Lake Forest,Illinois,Midwest Conference,D3,IL,Lake Forest College,Lake Forest,IL,00170600,0.5761,,62405.0,-87.827454,42.249574,0
Lakeland University,Sheboygan,Wisconsin,Northern Athletics Collegiate Conference,D3,WI,Lakeland University,Plymouth,WI,00385400,0.9247,,43694.0,-87.883414,43.841573,0
Lancaster Bible College,Lancaster,Pennsylvania,United East Conference,D3,PA,Lancaster Bible College,Lancaster,PA,00328500,0.9668,1087.0,36544.0,-76.287761,40.075347,0
Lasell College,Newton,Massachusetts,Great Northeast Athletic Conference,D3,MA,Lasell University,Newton,MA,00215800,0.8454,1083.0,54730.0,-71.24347,42.342148,0
Lawrence University,Appleton,Wisconsin,Midwest Conference,D3,WI,Lawrence University,Appleton,WI,00385600,0.6892,1323.0,62166.0,-88.397822,44.261323,0
Lebanon Valley College,Annville,Pennsylvania,MAC Commonwealth(MAC Freedom in 2023),D3,PA,Lebanon Valley College,Annville,PA,00328800,0.778,1166.0,59255.0,-76.514431,40.330604,0
Lesley University,Boston,Massachusetts,New England Collegiate Conference(North Atlantic Conference in 2023),D3,MA,Lesley University,Cambridge,MA,00216000,0.8381,,47620.0,-71.117303,42.38012,0
LeTourneau University,Longview,Texas,American Southwest Conference,D3,TX,LeTourneau University,Longview,TX,00358400,0.5611,1227.0,44629.0,-94.726394,32.46632,0
Lewis & Clark College,Portland,Oregon,Northwest Conference,D3,OR,Lewis & Clark College,Portland,OR,00319700,0.7982,1313.0,68735.0,-122.669137,45.450882,0
Loras College,Dubuque,Iowa,American Rivers Conference,D3,IA,Loras College,Dubuque,IA,00187300,0.5838,,46290.0,-90.679023,42.503908,0
Luther College,Decorah,Iowa,American Rivers Conference,D3,IA,Luther College,Decorah,IA,00187400,0.6429,1229.0,57885.0,-91.802809,43.312304,0
Lycoming College,Williamsport,Pennsylvania,MAC Freedom(Landmark Conference in 2023),D3,PA,Lycoming College,Williamsport,PA,00329300,0.6548,1117.0,57132.0,-77.0,41.24666,0
Lynchburg College,Lynchburg,Virginia,Old Dominion Athletic Conference,D3,VA,University of Lynchburg,Lynchburg,VA,00372000,0.9727,,54119.0,-79.181653,37.399774,0
Lyon College,Batesville,Arkansas,Independent (St. Louis Intercollegiate Athletic Conference in 2023),D3,AR,Lyon College,Batesville,AR,00108800,0.5015,1198.0,41396.0,-91.625354,35.777619,0
Macalester College,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN,Macalester College,Saint Paul,MN,00235800,0.3869,1390.0,71053.0,-93.168053,44.938565,0
University of Maine at Farmington,Farmington,Maine,North Atlantic Conference,D3,ME,University of Maine at Farmington,Farmington,ME,00204000,0.9461,,22802.0,-70.147121,44.666911,0
Maine Maritime Academy,Castine,Maine,North Atlantic Conference,D3,ME,Maine Maritime Academy,Castine,ME,00204400,0.5214,1085.0,28208.0,-68.804347,44.389654,0
University of Maine at Presque Isle,Presque Isle,Maine,North Atlantic Conference,D3,ME,University of Maine at Presque Isle,Presque Isle,ME,00203300,0.99,,17586.0,-68.016343,46.672285,0
Manchester University,North Manchester,Indiana,Heartland Collegiate Athletic Conference,D3,IN,Manchester University,North Manchester,IN,00182000,0.7038,,45489.0,-85.762643,41.010549,0
Manhattanville College,Purchase,New York,Skyline Conference,D3,NY,Manhattanville College,Purchase,NY,00276000,0.8981,,51214.0,-73.715645,41.032187,0
Maranatha Baptist University,Watertown,Wisconsin,Independent,D3,WI,Maranatha Baptist University,Watertown,WI,02317200,0.805,1192.0,27793.0,-88.737016,43.195013,0
Marian University,Fond du Lac,Wisconsin,Northern Athletics Collegiate Conference,D3,WI,Marian University,Fond Du Lac,WI,00386100,0.6767,1028.0,38372.0,-88.420638,43.777411,0
Marietta College,Marietta,Ohio,Ohio Athletic Conference,D3,OH,Marietta College,Marietta,OH,00307300,0.7391,1120.0,49601.0,-81.450045,39.41668,0
Martin Luther College,New Ulm,Minnesota,Upper Midwest Athletic Conference,D3,MN,Martin Luther College,New Ulm,MN,00236100,0.8731,1185.0,27230.0,-94.472326,44.30526,0
Mary Baldwin University,Staunton,Virginia,USA South Athletic Conference,D3,VA,Mary Baldwin University,Staunton,VA,00372300,0.871,1042.0,43427.0,-79.069273,38.153884,0
University of Mary Hardin–Baylor,Belton,Texas,American Southwest Conference,D3,TX,University of Mary Hardin-Baylor,Belton,TX,00358800,0.903,1105.0,42812.0,-97.463471,31.066793,1
University of Mary Washington,Fredericksburg,Virginia,Coast to Coast Athletic Conference,D3,VA,University of Mary Washington,Fredericksburg,VA,00374600,0.7549,1195.0,28327.0,-77.476055,38.302492,0
Marymount University,Arlington,Virginia,Atlantic East Conference,D3,VA,Marymount University,Arlington,VA,00372400,0.8526,1089.0,47495.0,-77.128785,38.905562,0
Maryville College,Maryville,Tennessee,Collegiate Conference of the South,D3,TN,Maryville College,Maryville,TN,00350500,0.6211,1159.0,49603.0,-83.964223,35.751505,0
Marywood University,Scranton,Pennsylvania,Atlantic East Conference,D3,PA,Marywood University,Scranton,PA,00329600,0.8203,1102.0,49609.0,-75.634142,41.434587,0
University of Massachusetts Boston,Boston,Massachusetts,Little East Conference,D3,MA,University of Massachusetts-Boston,Boston,MA,00222200,0.7968,,28910.0,-71.036865,42.312881,0
Massachusetts College of Liberal Arts,North Adams,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA,Massachusetts College of Liberal Arts,North Adams,MA,00218700,0.8768,1066.0,24458.0,-73.102817,42.691361,0
University of Massachusetts Dartmouth,Dartmouth,Massachusetts,Little East Conference,D3,MA,University of Massachusetts-Dartmouth,North Dartmouth,MA,00221000,0.7618,1094.0,28948.0,-71.004552,41.62869,0
Massachusetts Institute of Technology,Cambridge,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA,Massachusetts Institute of Technology,Cambridge,MA,00217800,0.0726,1550.0,73160.0,-71.093226,42.359243,0
Massachusetts Maritime Academy,Buzzards Bay,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA,Massachusetts Maritime Academy,Buzzards Bay,MA,00218100,0.9248,1117.0,28602.0,-70.624084,41.739072,0
McDaniel College,Westminster,Maryland,Centennial Conference,D3,MD,McDaniel College,Westminster,MD,00210900,0.8113,,58638.0,-77.001992,39.584231,0
McMurry University,Abilene,Texas,American Southwest Conference(Southern Collegiate Athletic Conference in 2024),D3,TX,McMurry University,Abilene,TX,00359100,0.4739,1041.0,41764.0,-99.748682,32.429776,0
Medaille College,Buffalo,New York,Empire 8,D3,NY,Medaille College,Buffalo,NY,00277700,0.718,,36840.0,-78.855941,42.92856,0
Meredith College,Raleigh,North Carolina,USA South Athletic Conference,D3,NC,Meredith College,Raleigh,NC,00294500,0.7162,1111.0,50390.0,-78.689995,35.799351,0
Messiah University,Grantham,Pennsylvania,MAC Commonwealth,D3,PA,Messiah University,Mechanicsburg,PA,00329800,0.7752,1205.0,49864.0,-76.988269,40.156579,0
Methodist University,Fayetteville,North Carolina,USA South Athletic Conference,D3,NC,Methodist University,Fayetteville,NC,00294600,0.7588,1050.0,55751.0,-78.874426,35.135058,0
Middlebury College,Middlebury,Vermont,New England Small College Athletic Conference,D3,VT,Middlebury College,Middlebury,VT,00369100,0.2204,1444.0,74248.0,-73.176068,44.009117,0
Millikin University,Decatur,Illinois,College Conference of Illinois and Wisconsin,D3,IL,Millikin University,Decatur,IL,00172400,0.7115,1097.0,49304.0,-88.976298,39.842612,0
Millsaps College,Jackson,Mississippi,Southern Athletic Association,D3,MS,Millsaps College,Jackson,MS,00241400,0.6981,1184.0,57996.0,-90.179957,32.322746,0
Milwaukee School of Engineering,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,D3,WI,Milwaukee School of Engineering,Milwaukee,WI,00386800,0.6009,1294.0,53885.0,-87.907691,43.045364,0
University of Minnesota Morris,Morris,Minnesota,Upper Midwest Athletic Conference,D3,MN,University of Minnesota-Morris,Morris,MN,00238900,0.6465,1199.0,24636.0,-95.899729,45.589775,0
Misericordia University,Dallas,Pennsylvania,MAC Freedom,D3,PA,Misericordia University,Dallas,PA,00324700,0.8329,,48844.0,-75.971541,41.345277,0
Mississippi University for Women,Columbus,Mississippi,St. Louis Intercollegiate Athletic Conference,D3,MS,Mississippi University for Women,Columbus,MS,00242200,0.9903,1106.0,20684.0,-88.418601,33.493305,0
Mitchell College,New London,Connecticut,New England Collegiate Conference(Great Northeast Athletic Conference in 2023),D3,CT,Mitchell College,New London,CT,00139300,0.7422,,48699.0,-72.09523,41.328013,0
Monmouth College,Monmouth,Illinois,Midwest Conference,D3,IL,Monmouth College,Monmouth,IL,00172500,0.6943,1163.0,51176.0,-90.63731,40.914824,0
Montclair State University,Montclair,New Jersey,New Jersey Athletic Conference,D3,NJ,Montclair State University,Montclair,NJ,00261700,0.8266,,26067.0,-74.198141,40.860414,0
Moravian College,Bethlehem,Pennsylvania,Landmark Conference,D3,PA,Moravian University,Bethlehem,PA,00330100,0.801,,59553.0,-75.383638,40.630947,0
Mount Aloysius College,Cresson,Pennsylvania,Allegheny Mountain Collegiate Conference,D3,PA,Mount Aloysius College,Cresson,PA,00330200,0.9524,,36886.0,-78.600898,40.459679,0
Mount Holyoke College,South Hadley,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA,Mount Holyoke College,South Hadley,MA,00219200,0.5247,1367.0,69578.0,-72.575511,42.256838,0
Mount Mary University,Milwaukee,Wisconsin,Coast to Coast Athletic Conference,D3,WI,Mount Mary University,Milwaukee,WI,00386900,0.5301,984.0,44284.0,-88.030732,43.072507,0
Mount Saint Mary College,Newburgh,New York,Skyline Conference,D3,NY,Mount Saint Mary College,Newburgh,NY,00277800,0.9017,1080.0,47103.0,-74.012655,41.513872,0
College of Mount Saint Vincent,The Bronx,New York,Skyline Conference,D3,NY,College of Mount Saint Vincent,Bronx,NY,00270300,0.9268,1002.0,51240.0,-73.908887,40.913657,0
University of Mount Union,Alliance,Ohio,Ohio Athletic Conference,D3,OH,University of Mount Union,Alliance,OH,00308300,0.7741,1107.0,44497.0,-81.111029,40.905256,0
Muhlenberg College,Allentown,Pennsylvania,Centennial Conference,D3,PA,Muhlenberg College,Allentown,PA,00330400,0.6218,1280.0,69413.0,-75.508502,40.596416,0
Muskingum University,New Concord,Ohio,Ohio Athletic Conference,D3,OH,Muskingum University,New Concord,OH,00308400,0.7966,,41716.0,-81.737127,39.996585,0
Nazareth College,Pittsford,New York,Empire 8,D3,NY,Nazareth College,Rochester,NY,00277900,0.7568,,51405.0,-77.518579,43.101576,0
Nebraska Wesleyan University,Lincoln,Nebraska,American Rivers Conference,D3,NE,Nebraska Wesleyan University,Lincoln,NE,00255500,0.6953,1222.0,48718.0,-96.64831,40.839098,0
Neumann University,Aston,Pennsylvania,Atlantic East Conference,D3,PA,Neumann University,Aston,PA,00398800,0.8034,991.0,50640.0,-75.440022,39.874876,0
New England College,Henniker,New Hampshire,New England Collegiate Conference(Great Northeast Athletic Conference in 2023),D3,NH,New England College,Henniker,NH,00257900,0.9625,,57285.0,-71.822282,43.176403,0
University of New England,Biddeford,Maine,Commonwealth Coast Conference,D3,ME,University of New England,Biddeford,ME,00205000,0.8726,,56844.0,-70.38535,43.458591,0
The College of New Jersey,Ewing,New Jersey,New Jersey Athletic Conference,D3,NJ,The College of New Jersey,Ewing,NJ,00264200,0.5125,1240.0,35502.0,-74.778791,40.268651,0
New Jersey City University,Jersey City,New Jersey,New Jersey Athletic Conference,D3,NJ,New Jersey City University,Jersey City,NJ,00261300,0.9633,,25328.0,-74.08727,40.709937,0
State University of New York at Brockport,Brockport,New York,State University of New York Athletic Conference,D3,NY,SUNY Brockport,Brockport,NY,00284100,0.5811,1089.0,24340.0,-77.947188,43.211926,0
State University of New York at Cortland,Cortland,New York,State University of New York Athletic Conference,D3,NY,SUNY Cortland,Cortland,NY,00284300,0.522,1164.0,25585.0,-76.188655,42.598022,0
State University of New York at Fredonia,Fredonia,New York,State University of New York Athletic Conference,D3,NY,SUNY at Fredonia,Fredonia,NY,00284400,0.7225,1112.0,23327.0,-79.337375,42.452236,0
State University of New York at Geneseo,Geneseo,New York,State University of New York Athletic Conference,D3,NY,SUNY College at Geneseo,Geneseo,NY,00284500,0.6136,1234.0,26266.0,-77.821894,42.796645,0
State University of New York Maritime College,The Bronx,New York,Skyline Conference,D3,NY,SUNY Maritime College,Throggs Neck,NY,00285300,0.7271,1153.0,26864.0,-73.795309,40.807217,0
State University of New York at Morrisville,Morrisville,New York,United East Conference(North Atlantic Conference in 2023),D3,NY,SUNY Morrisville,Morrisville,NY,00285900,0.7672,973.0,27687.0,-75.640583,42.893962,0
State University of New York Polytechnic Institute,Marcy,New York,North Atlantic Conference,D3,NY,SUNY Polytechnic Institute,Utica,NY,01167800,0.733,1177.0,23194.0,-75.229841,43.137701,0
State University of New York at New Paltz,New Paltz,New York,State University of New York Athletic Conference,D3,NY,State University of New York at New Paltz,New Paltz,NY,00284600,0.6202,1187.0,25615.0,-74.082188,41.740936,0
State University of New York at Old Westbury,Old Westbury,New York,Skyline Conference,D3,NY,SUNY College at Old Westbury,Old Westbury,NY,00710900,0.5308,1015.0,19786.0,-73.571907,40.799021,0
State University of New York at Oneonta,Oneonta,New York,State University of New York Athletic Conference,D3,NY,SUNY Oneonta,Oneonta,NY,00284700,0.6295,1034.0,25628.0,-75.063632,42.468861,0
State University of New York at Oswego,Oswego,New York,State University of New York Athletic Conference,D3,NY,SUNY College at Oswego,Oswego,NY,00284800,0.689,1112.0,24970.0,-76.540798,43.454287,0
State University of New York at Plattsburgh,Plattsburgh,New York,State University of New York Athletic Conference,D3,NY,SUNY College at Plattsburgh,Plattsburgh,NY,00284900,0.6103,1078.0,25786.0,-73.466536,44.69293,0
State University of New York at Potsdam,Potsdam,New York,State University of New York Athletic Conference,D3,NY,SUNY College at Potsdam,Potsdam,NY,00285000,0.7166,,23964.0,-74.973815,44.662148,0
State University of New York at Purchase,Purchase,New York,Skyline Conference,D3,NY,SUNY at Purchase College,Purchase,NY,00679100,0.737,1213.0,27991.0,-73.701955,41.047223,0
New York University,New York,New York,University Athletic Association,D3,NY,New York University,New York,NY,00278500,0.2109,1458.0,73759.0,-73.997264,40.729452,0
Nichols College,Dudley,Massachusetts,Commonwealth Coast Conference,D3,MA,Nichols College,Dudley,MA,00219700,0.8037,,52520.0,-71.930283,42.044033,0
North Carolina Wesleyan College,Rocky Mount,North Carolina,USA South Athletic Conference,D3,NC,North Carolina Wesleyan College,Rocky Mount,NC,00295100,0.4759,938.0,44530.0,-77.773982,36.019665,0
North Central College,Naperville,Illinois,College Conference of Illinois and Wisconsin,D3,IL,North Central College,Naperville,IL,00173400,0.5329,1164.0,52405.0,-88.14279,41.77576,0
North Central University,Minneapolis,Minnesota,Upper Midwest Athletic Conference,D3,MN,North Central University,Minneapolis,MN,00236900,0.9299,1077.0,37644.0,-93.261511,44.968625,0
North Park University,Chicago,Illinois,College Conference of Illinois and Wisconsin,D3,IL,North Park University,Chicago,IL,00173500,0.4396,1055.0,39373.0,-87.709948,41.975268,0
Northern Vermont University–Lyndon,Lyndonville,Vermont,North Atlantic Conference,D3,VT,Northern Vermont University - Lyndon,Lyndonvile,VT,00368802,0.7577,,,,,1
Northland College,Ashland,Wisconsin,Upper Midwest Athletic Conference,D3,WI,Northland College,Ashland,WI,00387500,0.643,1138.0,50029.0,-90.87476,46.579087,0
University of Northwestern – St. Paul,Roseville,Minnesota,Upper Midwest Athletic Conference,D3,MN,University of Northwestern-St Paul,Saint Paul,MN,00237100,0.9222,,43817.0,-93.167822,45.033703,1
Norwich University,Northfield,Vermont,Great Northeast Athletic Conference,D3,VT,Norwich University,Northfield,VT,00369200,0.7417,,59627.0,-72.659783,44.140237,0
Notre Dame of Maryland University,Baltimore,Maryland,Colonial States Athletic Conference,D3,MD,Notre Dame of Maryland University,Baltimore,MD,00206500,0.6229,,52667.0,-76.619739,39.350612,0
Oberlin College,Oberlin,Ohio,North Coast Athletic Conference,D3,OH,Oberlin College,Oberlin,OH,00308600,0.3536,1348.0,77124.0,-82.216795,41.291992,0
Occidental College,Los Angeles,California,Southern California Intercollegiate Athletic Conference,D3,CA,Occidental College,Los Angeles,CA,00124900,0.409,1378.0,76600.0,-118.210908,34.127124,0
Oglethorpe University,Atlanta,Georgia,Southern Athletic Association,D3,GA,Oglethorpe University,Atlanta,GA,00158600,0.6693,1203.0,55451.0,-84.333687,33.875441,0
Ohio Northern University,Ada,Ohio,Ohio Athletic Conference,D3,OH,Ohio Northern University,Ada,OH,00308900,0.652,1218.0,49392.0,-83.827441,40.7662,0
Ohio Wesleyan University,Delaware,Ohio,North Coast Athletic Conference,D3,OH,Ohio Wesleyan University,Delaware,OH,00310900,0.684,,62161.0,-83.069757,40.295963,0
Olivet College,Olivet,Michigan,Michigan Intercollegiate Athletic Association,D3,MI,Olivet College,Olivet,MI,00230800,0.6031,,42758.0,-84.923891,42.442891,0
Otterbein University,Westerville,Ohio,Ohio Athletic Conference,D3,OH,Otterbein University,Westerville,OH,00311000,0.7606,1158.0,45773.0,-82.936444,40.125327,0
University of the Ozarks,Clarksville,Arkansas,American Southwest Conference,D3,AR,University of the Ozarks,Clarksville,AR,00109400,0.559,1070.0,34832.0,-93.467221,35.476278,0
Pacific Lutheran University,Tacoma,Washington,Northwest Conference,D3,WA,Pacific Lutheran University,Tacoma,WA,00378500,0.863,,56830.0,-122.440421,47.14516,0
Pacific University,Forest Grove,Oregon,Northwest Conference,D3,OR,Pacific University,Forest Grove,OR,00321200,0.893,1166.0,62157.0,-123.108777,45.521394,0
Pennsylvania College of Technology,Williamsport,Pennsylvania,United East Conference,D3,PA,Pennsylvania College of Technology,Williamsport,PA,00339500,,,30759.0,-77.023665,41.234145,0
Pfeiffer University,Misenheimer,North Carolina,USA South Athletic Conference,D3,NC,Pfeiffer University,Misenheimer,NC,00295500,0.7584,1008.0,44387.0,-80.283168,35.484696,0
