School,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude,WikidataID,Score
Merryfield School of Pet Grooming,4227500.0,,,,-80.129991,26.19044,,
Trinity International University-Florida,177201.0,0.8592,1079.0,,-80.417646,25.68307,,
Miami Lakes Educational Center and Technical College,2316200.0,,,,-80.29513,25.916128,,
Orange Technical College-Mid Florida Campus,2501500.0,,,,-81.415996,28.471695,,
Paul Mitchell the School-Jacksonville,2149900.0,,,,-81.527515,30.259433,,
Orange Technical College-Orlando Campus,2513200.0,,,,-81.383783,28.550422,,
Pinellas Technical College-Clearwater,560500.0,,,,-82.719064,27.911922,,
Radford M Locklin Technical College,2554200.0,,,,-87.09971,30.648077,,
Saint Vincent de Paul Regional Seminary,822300.0,,,,-80.125185,26.516538,,
Ridge Technical College,2511700.0,,,27493.0,-81.654463,28.076632,,
Robert Morgan Educational Center and Technical College,2524200.0,,,,-80.390054,25.599247,,
First Coast Technical College,1254400.0,,,,-81.345829,29.924377,,
Pinellas Technical College-St. Petersburg,2115300.0,,,,-82.681534,27.761183,,
Suncoast Technical College,560700.0,,,,-82.500827,27.285486,,
Saint Johns River State College,152300.0,,,10917.0,-81.681387,29.647516,,
South Florida State College,152200.0,,,10057.0,-81.508667,27.56974,,
Bene's Career Academy,3018500.0,,,,-82.728584,28.259612,,
Riveroak Technical College,752500.0,,,,-82.992512,30.281999,,
Talmudic College of Florida,2508900.0,,,26650.0,-80.136293,25.811996,,
Altierus Career College-Tampa,149900.0,,,27474.0,-82.497616,27.996582,,
Big Bend Technical College,3100800.0,,,,-83.565783,30.077954,,
Tom P. Haney Technical College,1082600.0,,,,-85.646585,30.203363,,
Florida Panhandle Technical College,752600.0,,,,-85.553345,30.77449,,
Rasmussen University-Florida,869410.0,,,23396.0,-82.197343,29.140099,,
Orange Technical College-Westside Campus,2321200.0,,,,-81.571532,28.559574,,
William T McFatter Technical College,3003600.0,,,,-80.232201,26.085022,,
Orange Technical College-Winter Park Campus,2504600.0,,,,-81.36174,28.604386,,
Withlacoochee Technical College,2300900.0,,,,-82.345563,28.834861,,
Abraham Baldwin Agricultural College,154100.0,0.7599,1000.0,13361.0,-83.528281,31.481889,,
Interactive College of Technology-Chamblee,2284300.0,,,19124.0,-84.303159,33.887956,,
Interactive College of Technology-Morrow,2284308.0,,,19192.0,-84.336098,33.57233,,
Andrew College,154500.0,0.5864,993.0,34282.0,-84.795021,31.772321,,
The Art Institute of Atlanta,927000.0,,,32980.0,-84.355252,33.936024,,
Georgia Career Institute,3005400.0,,,,-84.018321,33.64336,,
Atlanta Metropolitan State College,1216500.0,,,12927.0,-84.404659,33.70893,,
Atlanta School of Massage,2580200.0,,,,-84.311332,33.922131,,
Augusta Technical College,559900.0,,,17614.0,-82.048439,33.418992,,
Beulah Heights University,3076300.0,,,11650.0,-84.35768,33.736993,,
Dalton State College,395600.0,,,11526.0,-85.002775,34.774221,,
Pro Way Hair School,1205100.0,,,,-84.205183,33.801802,,
Grady Health System Professional Schools,411700.0,,,,-84.381561,33.751852,,
Georgia Institute of Technology-Main Campus,156900.0,0.2134,1465.0,29291.0,-84.394832,33.77242,,
Gupton Jones College of Funeral Service,1077100.0,,,20737.0,-84.179775,33.710709,,
Gwinnett College-Lilburn,2583000.0,,,26646.0,-84.121874,33.901271,,
Gwinnett Technical College,2288400.0,,,19125.0,-84.066224,33.962763,,
Chattahoochee Technical College,562000.0,,,11361.0,-84.553722,33.929092,,
Herzing University-Atlanta,962106.0,0.9201,,29587.0,-84.387251,33.754218,,
North Georgia Technical College,561900.0,,,11328.0,-83.530118,34.639721,,
Miami Ad School-Atlanta,3125604.0,,,,-84.396182,33.812116,,
Truett McConnell University,159700.0,0.9729,1052.0,33299.0,-83.748911,34.596306,,
Hawaii Institute of Hair Design,2139500.0,,,,-157.861609,21.31146,,
Carrington College-Boise,2218000.0,,,,-116.260675,43.615295,,
Lewis-Clark State College,162100.0,0.9975,998.0,16922.0,-117.024875,46.412199,,
Aveda Institute-Twin Falls,987300.0,,,,-114.461545,42.593567,,
Mr Leon's School of Hair Design-Moscow,2275800.0,,,,-117.001162,46.729532,,
North Idaho College,162300.0,,,12203.0,-116.798905,47.67569,,
Nathan Layne Institute of Cosmetology,2314000.0,,,,-112.464554,42.919964,,
Adler University,2068100.0,,,,-87.629156,41.882414,,
American Academy of Art College,162800.0,,,41648.0,-87.624788,41.87742,,
Blessing Rieman College of Nursing and Health Sciences,621400.0,,,,-91.357497,39.949641,,
Blessing Hospital School of Radiologic Technology,621402.0,,,,-91.391542,39.935084,,
Paul Mitchell the School-Bradley,3065300.0,,,,-87.847099,41.172891,,
Cameo Beauty Academy,3078400.0,,,,-87.740894,41.716051,,
Cannella School of Hair Design-Villa Park,2202600.0,,,,-87.994628,41.90417,,
Cannella School of Hair Design-Chicago,959500.0,,,,-87.551622,41.731381,,
Cannella School of Hair Design-Chicago,2349500.0,,,,-87.701198,41.815763,,
Capri Beauty College,1308800.0,,,,-87.771567,41.603863,,
Midwestern University-Downers Grove,165700.0,,,,-87.998342,41.828115,,
City Colleges of Chicago-Kennedy-King College,165400.0,,,10390.0,-87.643425,41.780253,,
City Colleges of Chicago-Olive-Harvey College,976700.0,,,10070.0,-87.589249,41.709997,,
City Colleges of Chicago-Harry S Truman College,164800.0,,,9391.0,-87.659107,41.964502,,
