School,City,StateCode,OPEID,AdmissionRate,SAT,Cost,Longitude,Latitude
Foothill College,Los Altos Hills,CA,119900.0,,,13752.0,-122.127964,37.361655
Franciscan School of Theology,San Diego,CA,1179200.0,,,,-117.192073,32.770816
Fredrick and Charles Beauty College,Eureka,CA,2230900.0,,,,-124.164986,40.798885
Fresno City College,Fresno,CA,130700.0,,,10995.0,-119.796096,36.768164
Fresno Pacific University,Fresno,CA,125300.0,0.6694,1019.0,43317.0,-119.735199,36.726831
Fuller Theological Seminary,Pasadena,CA,120000.0,,,,-118.140261,34.14778
Fullerton College,Fullerton,CA,120100.0,,,14803.0,-117.918255,33.875514
Gavilan College,Gilroy,CA,120200.0,,,12401.0,-121.569842,36.972627
Gemological Institute of America-Carlsbad,Carlsbad,CA,2231900.0,,,,-117.318765,33.131313
Glendale Community College,Glendale,CA,120300.0,,,11366.0,-118.227666,34.16745
Glendale Career College,Glendale,CA,2338500.0,,,,-118.254719,34.149771
Golden Gate University,San Francisco,CA,120500.0,,,,-122.398969,37.789374
Golden West College,Huntington Beach,CA,120600.0,,,11401.0,-118.002568,33.732531
Graduate Theological Union,Berkeley,CA,120700.0,,,,-122.261847,37.87554
Grossmont College,El Cajon,CA,120800.0,,,11511.0,-117.006277,32.815246
Salon Success Academy-Riverside,Riverside,CA,2211000.0,,,,-117.391024,33.943149
Hartnell College,Salinas,CA,120900.0,,,13195.0,-121.666054,36.675091
Harvey Mudd College,Claremont,CA,117100.0,0.1796,1534.0,79539.0,-117.709837,34.106515
Hilltop Beauty School,Daly City,CA,2285100.0,,,,-122.461467,37.705502
Holy Names University,Oakland,CA,118300.0,0.8912,,57486.0,-122.187804,37.802276
Pacifica Graduate Institute,Carpinteria,CA,3126800.0,,,,-119.580414,34.420881
California State Polytechnic University-Humboldt,Arcata,CA,114900.0,0.8514,1081.0,24991.0,-124.078293,40.877481
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,121200.0,,,21249.0,-121.316918,38.011489
Imperial Valley College,Imperial,CA,121400.0,,,10240.0,-115.503563,32.827209
Institute for Business and Technology,Santa Clara,CA,2128300.0,,,,-121.969541,37.368642
Interior Designers Institute,Newport Beach,CA,2520300.0,,,,-117.865722,33.641393
International School of Cosmetology,Los Angeles,CA,2255400.0,,,,-118.361176,34.080053
